Alt Stock Year ABC OFL Catch SSB F Total_Biom
1 Model_1_goa_re_2019.dat 2019 1.21299 1.45735 0.790419 12.477 0.0258654 40.2895
1 Model_1_goa_re_2019.dat 2020 1.20099 1.4429542 0.418805 12.4609 0.0137612 40.1349736
1 Model_1_goa_re_2019.dat 2021 1.20859068 1.45209066 1.20859068 12.3959 0.0399647 40.340037
1 Model_1_goa_re_2019.dat 2022 1.1940212 1.43456526 1.1940212 12.1687 0.0399647 39.7355066
1 Model_1_goa_re_2019.dat 2023 1.16435634 1.39894136 1.16435634 11.9719 0.0399647 39.1467062
1 Model_1_goa_re_2019.dat 2024 1.14892946 1.38042446 1.14892946 11.7879924 0.0399647 38.5896302
1 Model_1_goa_re_2019.dat 2025 1.15082166 1.38271136 1.15082166 11.641454 0.0399647 38.0503722
1 Model_1_goa_re_2019.dat 2026 1.17607264 1.41297186 1.17607264 11.5075194 0.0399647 37.5170428
1 Model_1_goa_re_2019.dat 2027 1.14488368 1.37550754 1.14488368 11.3666092 0.0399647 36.9640714
1 Model_1_goa_re_2019.dat 2028 1.11524564 1.33991222 1.11524564 11.2164836 0.0399647 36.4505732
1 Model_1_goa_re_2019.dat 2029 1.09360792 1.31392038 1.09360792 11.0553858 0.0399647 35.9739146
1 Model_1_goa_re_2019.dat 2030 1.07416026 1.29055476 1.07416026 10.89036 0.0399647 35.5308496
1 Model_1_goa_re_2019.dat 2031 1.05277746 1.26487012 1.05277746 10.7278326 0.0399647 35.1178674
1 Model_1_goa_re_2019.dat 2032 1.03356982 1.2418012 1.03356982 10.552155 0.0399647 34.7361036
2 Model_1_goa_re_2019.dat 2019 0.620747 1.45735 0.790419 12.477 0.0258654 40.2895
2 Model_1_goa_re_2019.dat 2020 0.614595262 1.4429542 0.418805 12.4609 0.0137612 40.1349736
2 Model_1_goa_re_2019.dat 2021 0.618477202 1.45209066 0.618477202 12.496 0.0202581 40.340037
2 Model_1_goa_re_2019.dat 2022 0.622467764 1.46138096 0.622467764 12.5025 0.0202581 40.3255558
2 Model_1_goa_re_2019.dat 2023 0.618125602 1.45123832 0.618125602 12.5313 0.0202581 40.2969886
2 Model_1_goa_re_2019.dat 2024 0.620379194 1.4565832 0.620379194 12.5628638 0.0202581 40.2631098
2 Model_1_goa_re_2019.dat 2025 0.63099991 1.4815563 0.63099991 12.6238492 0.0202581 40.2178318
2 Model_1_goa_re_2019.dat 2026 0.653464176 1.53402626 0.653464176 12.690956 0.0202581 40.1586818
2 Model_1_goa_re_2019.dat 2027 0.646630068 1.51800078 0.646630068 12.7446644 0.0202581 40.072244
2 Model_1_goa_re_2019.dat 2028 0.639886128 1.50220996 0.639886128 12.7797402 0.0202581 39.9897914
2 Model_1_goa_re_2019.dat 2029 0.636604668 1.49451662 0.636604668 12.7934424 0.0202581 39.9096862
2 Model_1_goa_re_2019.dat 2030 0.633879414 1.48811236 0.633879414 12.7931762 0.0202581 39.8337474
2 Model_1_goa_re_2019.dat 2031 0.629600128 1.47808014 0.629600128 12.7853328 0.0202581 39.7605038
2 Model_1_goa_re_2019.dat 2032 0.625891486 1.46939854 0.625891486 12.7496746 0.0202581 39.6911776
3 Model_1_goa_re_2019.dat 2019 0.612379 1.45735 0.790419 12.477 0.0258654 40.2895
3 Model_1_goa_re_2019.dat 2020 0.606310102 1.4429542 0.418805 12.4609 0.0137612 40.1349736
3 Model_1_goa_re_2019.dat 2021 0.610139598 1.45209066 0.610139598 12.4974 0.0199823 40.340037
3 Model_1_goa_re_2019.dat 2022 0.614235944 1.46176006 0.614235944 12.5072 0.0199823 40.3338924
3 Model_1_goa_re_2019.dat 2023 0.61010645 1.45198454 0.61010645 12.5394 0.0199823 40.3133956
3 Model_1_goa_re_2019.dat 2024 0.612476946 1.45768052 0.612476946 12.5740748 0.0199823 40.2872068
3 Model_1_goa_re_2019.dat 2025 0.62309728 1.48299332 0.62309728 12.6381986 0.0199823 40.2493312
3 Model_1_goa_re_2019.dat 2026 0.645402072 1.53580206 0.645402072 12.7084052 0.0199823 40.1974144
3 Model_1_goa_re_2019.dat 2027 0.638799752 1.52010888 0.638799752 12.765161 0.0199823 40.1182088
3 Model_1_goa_re_2019.dat 2028 0.632278432 1.50463184 0.632278432 12.8031944 0.0199823 40.0425782
3 Model_1_goa_re_2019.dat 2029 0.629165708 1.49723462 0.629165708 12.8197458 0.0199823 39.9688936
3 Model_1_goa_re_2019.dat 2030 0.626595058 1.49111096 0.626595058 12.8222204 0.0199823 39.8990212
3 Model_1_goa_re_2019.dat 2031 0.622484566 1.48134286 0.622484566 12.8170032 0.0199823 39.8315156
3 Model_1_goa_re_2019.dat 2032 0.618930342 1.4729104 0.618930342 12.783778 0.0199823 39.7675874
4 Model_1_goa_re_2019.dat 2019 0.610736 1.45735 0.790419 12.477 0.0258654 40.2895
4 Model_1_goa_re_2019.dat 2020 0.604683568 1.4429542 0.418805 12.4609 0.0137612 40.1349736
4 Model_1_goa_re_2019.dat 2021 0.60850276 1.45209066 0.60850276 12.4977 0.0199282 40.340037
4 Model_1_goa_re_2019.dat 2022 0.612619308 1.46183428 0.612619308 12.5081 0.0199282 40.3355326
4 Model_1_goa_re_2019.dat 2023 0.608531138 1.45213116 0.608531138 12.5409 0.0199282 40.3166184
4 Model_1_goa_re_2019.dat 2024 0.610924118 1.45789588 0.610924118 12.5762768 0.0199282 40.2919408
4 Model_1_goa_re_2019.dat 2025 0.621543944 1.4832756 0.621543944 12.641017 0.0199282 40.2555178
4 Model_1_goa_re_2019.dat 2026 0.643817014 1.53615082 0.643817014 12.7118318 0.0199282 40.2050222
4 Model_1_goa_re_2019.dat 2027 0.637259798 1.52052318 0.637259798 12.7691872 0.0199282 40.127239
4 Model_1_goa_re_2019.dat 2028 0.630781796 1.5051081 0.630781796 12.8078064 0.0199282 40.0529522
4 Model_1_goa_re_2019.dat 2029 0.627701836 1.49776882 0.627701836 12.8249192 0.0199282 39.9805304
4 Model_1_goa_re_2019.dat 2030 0.625161252 1.49170056 0.625161252 12.8279292 0.0199282 39.9118538
4 Model_1_goa_re_2019.dat 2031 0.621083604 1.48198428 0.621083604 12.8232286 0.0199282 39.845476
