Alt Stock Year ABC OFL Catch SSB F Total_Biom
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.424885 8.67785 0.0202855 26.1606
1 Model_1_goa_re_2021.dat 2022 0.786814046 0.9448871 0.786814046 8.55756 0.0381281 26.0196626
1 Model_1_goa_re_2021.dat 2023 0.763584992 0.91700004 0.763584992 8.36214 0.0381281 25.526951
1 Model_1_goa_re_2021.dat 2024 0.74742801 0.897605632 0.74742801 8.16979 0.0381281 25.0745718
1 Model_1_goa_re_2021.dat 2025 0.73952636 0.888120178 0.73952636 7.99805 0.0381281 24.6593488
1 Model_1_goa_re_2021.dat 2026 0.739885716 0.888523454 0.739885716 7.8359187 0.0381281 24.271821
1 Model_1_goa_re_2021.dat 2027 0.718720894 0.863111806 0.718720894 7.6751079 0.0381281 23.9026826
1 Model_1_goa_re_2021.dat 2028 0.698502808 0.838840374 0.698502808 7.51511382 0.0381281 23.5770088
1 Model_1_goa_re_2021.dat 2029 0.682181066 0.81924516 0.682181066 7.35784406 0.0381281 23.2895836
1 Model_1_goa_re_2021.dat 2030 0.668176026 0.802430238 0.668176026 7.20583844 0.0381281 23.0358658
1 Model_1_goa_re_2021.dat 2031 0.655285882 0.786955066 0.655285882 7.0642612 0.0381281 22.8119064
1 Model_1_goa_re_2021.dat 2032 0.644590688 0.774115042 0.644590688 6.92799096 0.0381281 22.6170568
1 Model_1_goa_re_2021.dat 2033 0.63591986 0.763705202 0.63591986 6.80843332 0.0381281 22.4464578
1 Model_1_goa_re_2021.dat 2034 0.62905603 0.755465202 0.62905603 6.70606296 0.0381281 22.2952368
2 Model_1_goa_re_2021.dat 2021 0.382035 0.950818 0.424885 8.67785 0.0202855 26.1606
2 Model_1_goa_re_2021.dat 2022 0.379661044 0.9448871 0.379661044 8.62777 0.0182214 26.0196626
2 Model_1_goa_re_2021.dat 2023 0.375540142 0.934657358 0.375540142 8.59562 0.0182214 25.9338122
2 Model_1_goa_re_2021.dat 2024 0.374374312 0.931781936 0.374374312 8.55888 0.0182214 25.8613272
2 Model_1_goa_re_2021.dat 2025 0.37682812 0.937897876 0.37682812 8.5359 0.0182214 25.8032128
2 Model_1_goa_re_2021.dat 2026 0.383057046 0.953295682 0.383057046 8.51637272 0.0182214 25.7548746
2 Model_1_goa_re_2021.dat 2027 0.378570706 0.9421447 0.378570706 8.4919533 0.0182214 25.7118
2 Model_1_goa_re_2021.dat 2028 0.374112844 0.931076834 0.374112844 8.46082838 0.0182214 25.688075
2 Model_1_goa_re_2021.dat 2029 0.37114281 0.92370149 0.37114281 8.4246711 0.0182214 25.6792192
2 Model_1_goa_re_2021.dat 2030 0.368936838 0.918221448 0.368936838 8.38599358 0.0182214 25.6834836
2 Model_1_goa_re_2021.dat 2031 0.366934416 0.913251412 0.366934416 8.35057878 0.0182214 25.6987902
2 Model_1_goa_re_2021.dat 2032 0.365688128 0.910160574 0.365688128 8.31176436 0.0182214 25.725801
2 Model_1_goa_re_2021.dat 2033 0.365146668 0.908821156 0.365146668 8.28333876 0.0182214 25.7613984
2 Model_1_goa_re_2021.dat 2034 0.365232438 0.909042042 0.365232438 8.26639254 0.0182214 25.8023006
3 Model_1_goa_re_2021.dat 2021 0.399539 0.950818 0.424885 8.67785 0.0202855 26.1606
3 Model_1_goa_re_2021.dat 2022 0.39705599 0.9448871 0.39705599 8.62478 0.019064 26.0196626
3 Model_1_goa_re_2021.dat 2023 0.39242923 0.933902846 0.39242923 8.58561 0.019064 25.9164308
3 Model_1_goa_re_2021.dat 2024 0.390907878 0.930307938 0.390907878 8.54203 0.019064 25.8274058
3 Model_1_goa_re_2021.dat 2025 0.393183226 0.935731468 0.393183226 8.51239 0.019064 25.753448
3 Model_1_goa_re_2021.dat 2026 0.399411432 0.950451802 0.399411432 8.48636356 0.019064 25.689783
3 Model_1_goa_re_2021.dat 2027 0.394443904 0.938644612 0.394443904 8.45560868 0.019064 25.6317152
3 Model_1_goa_re_2021.dat 2028 0.389521542 0.926956724 0.389521542 8.4183803 0.019064 25.59382
3 Model_1_goa_re_2021.dat 2029 0.386169454 0.918995704 0.386169454 8.3763732 0.019064 25.5716274
3 Model_1_goa_re_2021.dat 2030 0.38362949 0.912961256 0.38362949 8.33211046 0.019064 25.563284
3 Model_1_goa_re_2021.dat 2031 0.38131506 0.907466746 0.38131506 8.29135738 0.019064 25.5666564
3 Model_1_goa_re_2021.dat 2032 0.37980305 0.903879202 0.37980305 8.24753524 0.019064 25.5823722
3 Model_1_goa_re_2021.dat 2033 0.379038682 0.902068344 0.379038682 8.2143328 0.019064 25.6072584
3 Model_1_goa_re_2021.dat 2034 0.378940046 0.901840892 0.378940046 8.19282328 0.019064 25.6379846
4 Model_1_goa_re_2021.dat 2021 0.541721 0.950818 0.424885 8.67785 0.0202855 26.1606
4 Model_1_goa_re_2021.dat 2022 0.53835182 0.9448871 0.53835182 8.6005 0.0259344 26.0196626
4 Model_1_goa_re_2021.dat 2023 0.528590208 0.92777448 0.528590208 8.50438 0.0259344 25.7752326
4 Model_1_goa_re_2021.dat 2024 0.52322665 0.918380702 0.52322665 8.40592 0.0259344 25.5528806
4 Model_1_goa_re_2021.dat 2025 0.523156806 0.918265752 0.523156806 8.32321 0.0259344 25.3521838
4 Model_1_goa_re_2021.dat 2026 0.52852104 0.927606624 0.52852104 8.24573604 0.0259344 25.166824
4 Model_1_goa_re_2021.dat 2027 0.518840372 0.910627276 0.518840372 8.16523282 0.0259344 24.9905454
4 Model_1_goa_re_2021.dat 2028 0.50940808 0.89409245 0.50940808 8.08045862 0.0259344 24.8418748
4 Model_1_goa_re_2021.dat 2029 0.502277914 0.881590798 0.502277914 7.99324078 0.0259344 24.7162124
4 Model_1_goa_re_2021.dat 2030 0.49640627 0.871293486 0.49640627 7.9061654 0.0259344 24.6108838
4 Model_1_goa_re_2021.dat 2031 0.490991054 0.861799726 0.490991054 7.8248266 0.0259344 24.5232174
4 Model_1_goa_re_2021.dat 2032 0.4868018 0.854455578 0.4868018 7.7432627 0.0259344 24.4534908
4 Model_1_goa_re_2021.dat 2033 0.483751264 0.84910818 0.483751264 7.67435102 0.0259344 24.3980158
4 Model_1_goa_re_2021.dat 2034 0.481717022 0.845543928 0.481717022 7.61898706 0.0259344 24.352998
5 Model_1_goa_re_2021.dat 2021 0 0.950818 0.424885 8.67785 0.0202855 26.1606
