Alternative Spp Yr  ABC OFL Catch SSB F Tot_biom
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787454 0.945656 0.487002 8.61655 0.023413 26.0948
1 Model_1_goa_re_2021.dat 2023 0.775044 0.93076 0.361636 8.56137 0.0176151 25.9274
1 Model_1_goa_re_2021.dat 2024 0.773213 0.928568 0.353812 8.5315 0.0172723 25.907
1 Model_1_goa_re_2021.dat 2025 0.779141 0.93569 0.779141 8.44467 0.0381281 25.9084
1 Model_1_goa_re_2021.dat 2026 0.777568 0.933774 0.777568 8.26438 0.0381281 25.5213
1 Model_1_goa_re_2021.dat 2027 0.754577 0.906171 0.754577 8.08454 0.0381281 25.1198
1 Model_1_goa_re_2021.dat 2028 0.732807 0.880037 0.732807 7.90515 0.0381281 24.7606
1 Model_1_goa_re_2021.dat 2029 0.714885 0.858522 0.714885 7.72924 0.0381281 24.43
1 Model_1_goa_re_2021.dat 2030 0.699011 0.839462 0.699011 7.56045 0.0381281 24.1456
1 Model_1_goa_re_2021.dat 2031 0.684299 0.821799 0.684299 7.40473 0.0381281 23.9229
1 Model_1_goa_re_2021.dat 2032 0.672023 0.807062 0.672023 7.25867 0.0381281 23.7148
1 Model_1_goa_re_2021.dat 2033 0.662599 0.795751 0.662599 7.1346 0.0381281 23.5283
1 Model_1_goa_re_2021.dat 2034 0.657693 0.789871 0.657693 7.03317 0.0381281 23.3475
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.487002 8.61655 0.023413 26.0144
1 Model_1_goa_re_2021.dat 2023 0.775038 0.930753 0.361636 8.56137 0.0176152 25.7903
1 Model_1_goa_re_2021.dat 2024 0.773186 0.928536 0.353812 8.5315 0.0172729 25.6999
1 Model_1_goa_re_2021.dat 2025 0.779045 0.935574 0.779045 8.44467 0.0381281 25.6269
1 Model_1_goa_re_2021.dat 2026 0.777267 0.933411 0.777267 8.26418 0.0381281 25.154
1 Model_1_goa_re_2021.dat 2027 0.753796 0.905229 0.753796 8.08407 0.0381281 24.6915
1 Model_1_goa_re_2021.dat 2028 0.731214 0.878118 0.731214 7.90405 0.0381281 24.2775
1 Model_1_goa_re_2021.dat 2029 0.712596 0.855764 0.712596 7.72611 0.0381281 23.8752
1 Model_1_goa_re_2021.dat 2030 0.696546 0.836492 0.696546 7.5525 0.0381281 23.5079
1 Model_1_goa_re_2021.dat 2031 0.681864 0.818865 0.681864 7.3881 0.0381281 23.161
1 Model_1_goa_re_2021.dat 2032 0.669475 0.803992 0.669475 7.22623 0.0381281 22.891
1 Model_1_goa_re_2021.dat 2033 0.658678 0.791027 0.658678 7.07803 0.0381281 22.6551
1 Model_1_goa_re_2021.dat 2034 0.648085 0.778303 0.648085 6.94361 0.0381281 22.445
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787454 0.945655 0.487002 8.61655 0.023413 26.0818
1 Model_1_goa_re_2021.dat 2023 0.775043 0.930759 0.361636 8.56137 0.0176151 25.9135
1 Model_1_goa_re_2021.dat 2024 0.773209 0.928564 0.353812 8.5315 0.0172724 25.8924
1 Model_1_goa_re_2021.dat 2025 0.779129 0.935676 0.779129 8.44467 0.0381281 25.9079
1 Model_1_goa_re_2021.dat 2026 0.777531 0.933729 0.777531 8.26435 0.0381281 25.475
1 Model_1_goa_re_2021.dat 2027 0.754489 0.906064 0.754489 8.08449 0.0381281 25.0751
1 Model_1_goa_re_2021.dat 2028 0.73265 0.879848 0.73265 7.90503 0.0381281 24.7141
1 Model_1_goa_re_2021.dat 2029 0.714727 0.858331 0.714727 7.72891 0.0381281 24.3837
1 Model_1_goa_re_2021.dat 2030 0.698922 0.839355 0.698922 7.55951 0.0381281 24.1168
1 Model_1_goa_re_2021.dat 2031 0.684178 0.821654 0.684178 7.40299 0.0381281 23.8993
1 Model_1_goa_re_2021.dat 2032 0.671658 0.806622 0.671658 7.25563 0.0381281 23.7373
1 Model_1_goa_re_2021.dat 2033 0.661932 0.794947 0.661932 7.12959 0.0381281 23.6053
1 Model_1_goa_re_2021.dat 2034 0.656562 0.78851 0.656562 7.02543 0.0381281 23.529
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.487002 8.61655 0.023413 26.0262
1 Model_1_goa_re_2021.dat 2023 0.775039 0.930754 0.361636 8.56137 0.0176152 25.8464
1 Model_1_goa_re_2021.dat 2024 0.773193 0.928545 0.353812 8.5315 0.0172728 25.7955
1 Model_1_goa_re_2021.dat 2025 0.779072 0.935607 0.779072 8.44467 0.0381281 25.8113
1 Model_1_goa_re_2021.dat 2026 0.777359 0.933522 0.777359 8.26421 0.0381281 25.4259
1 Model_1_goa_re_2021.dat 2027 0.754064 0.905552 0.754064 8.08423 0.0381281 25.0434
1 Model_1_goa_re_2021.dat 2028 0.731866 0.878903 0.731866 7.90443 0.0381281 24.7292
1 Model_1_goa_re_2021.dat 2029 0.713852 0.857277 0.713852 7.72719 0.0381281 24.4467
1 Model_1_goa_re_2021.dat 2030 0.698455 0.838793 0.698455 7.55539 0.0381281 24.1934
1 Model_1_goa_re_2021.dat 2031 0.684356 0.821868 0.684356 7.39484 0.0381281 23.9349
1 Model_1_goa_re_2021.dat 2032 0.672424 0.807546 0.672424 7.24059 0.0381281 23.7204
1 Model_1_goa_re_2021.dat 2033 0.662082 0.795129 0.662082 7.10626 0.0381281 23.5025
1 Model_1_goa_re_2021.dat 2034 0.653153 0.784408 0.653153 6.99332 0.0381281 23.2883
1 Model_1_goa_re_2021.dat 2021 0.791748 0.950818 0.407204 8.68089 0.0194333 26.1606
1 Model_1_goa_re_2021.dat 2022 0.787453 0.945654 0.487002 8.61655 0.023413 26.0251
1 Model_1_goa_re_2021.dat 2023 0.775038 0.930753 0.361636 8.56137 0.0176152 25.7947
1 Model_1_goa_re_2021.dat 2024 0.773189 0.928539 0.353812 8.5315 0.0172729 25.71
1 Model_1_goa_re_2021.dat 2025 0.779053 0.935584 0.779053 8.44467 0.0381281 25.6093
1 Model_1_goa_re_2021.dat 2026 0.77729 0.933438 0.77729 8.2642 0.0381281 25.0798
1 Model_1_goa_re_2021.dat 2027 0.753842 0.905285 0.753842 8.0841 0.0381281 24.5773
