Variable,Year,Maximum permissible F,Author's F (Estimated catches),Author's F (Fraction of F40%),Half maximum F,5-year average F,No fishing,Overfished,Approaching overfished
Spawning Biomass (t),2021,8680.89,8680.89,8680.89,8680.89,8680.89,8680.89,8680.89,8680.89
Spawning Biomass (t),2022,8616.55,8616.55,8616.55,8616.55,8616.55,8616.55,8537.179999999998,8564.67
Spawning Biomass (t),2023,8489.82,8561.37,8560.76,8556.300000000001,8532.28,8623.31,8278.81,8368.980000000001
Spawning Biomass (t),2024,8292.529999999999,8531.5,8528.24,8513.289999999999,8433.05,8740.05,8028.130000000001,8150.25
Spawning Biomass (t),2025,8115.71,8444.67,8509.5,8484.28,8349.51,8870.050000000001,7802.21,7918.580000000001
Spawning Biomass (t),2026,7948.32,8264.24,8494.26,8458.949999999999,8271.15,9003.45,7589.5999999999995,7700.1
Spawning Biomass (t),2027,7782.08,8084.24,8474.16,8428.99,8189.7,9131.56,7381.9,7486.42
Spawning Biomass (t),2028,7616.570000000001,7904.46,8447.33,8392.609999999999,8103.93,9250.89,7178.950000000001,7277.46
Spawning Biomass (t),2029,7453.8,7727.22,8415.41,8351.42,8015.700000000001,9362.33,6982.610000000001,7075.1900000000005
Spawning Biomass (t),2030,7296.38,7555.34,8380.869999999999,8307.85,7927.61,9467.86,6795.28,6882.07
Spawning Biomass (t),2031,7149.56,7394.33,8349.460000000001,8267.47,7845.259999999999,9573.320000000002,6621.74,6702.969999999999
Spawning Biomass (t),2032,7008.03,7238.67,8314.58,8223.83,7762.660000000001,9670.289999999999,6457.26,6533.01
Spawning Biomass (t),2033,6883.4400000000005,7100.33,8289.949999999999,8190.089999999999,7692.75,9774.17,6312.280000000001,6382.79
Spawning Biomass (t),2034,6776.29,6979.75,8276.66,8168.4000000000005,7636.42,9886.22,6186.94,6252.469999999999
Fishing Mortality,2021,0.0194333,0.0194333,0.0194333,0.0194333,0.0194333,0.0194333,0.0194333,0.0194333
Fishing Mortality,2022,0.023413,0.023413,0.023413,0.023413,0.023413,0.023413,0.0459617,0.0381281
Fishing Mortality,2023,0.0381281,0.0176152,0.0177906,0.019064,0.0259344,0,0.0459618,0.0381281
Fishing Mortality,2024,0.0381281,0.0172727,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2025,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2026,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2027,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2028,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2029,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2030,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2031,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2032,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2033,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Fishing Mortality,2034,0.0381281,0.0381281,0.0177906,0.019064,0.0259344,0,0.0459618,0.0459618
Yield (t),2021,407.204,407.204,407.204,407.204,407.204,407.204,407.204,407.204
Yield (t),2022,487.00100000000003,487.00100000000003,487.00100000000003,487.00100000000003,487.00100000000003,487.00100000000003,945.654,787.453
Yield (t),2023,775.04,361.636,365.205,391.106,530.289,0,910.867,764.189
Yield (t),2024,758.2719999999999,353.812,364.268,389.63,524.854,0,885.1949999999999,898.2909999999999
Yield (t),2025,749.783,779.077,366.86,391.95000000000005,524.714,0,869.947,882.254
Yield (t),2026,749.591,777.371,373.135,398.218,530.0120000000001,0,864.962,876.523
Yield (t),2027,727.866,754.076,368.944,393.28499999999997,520.2620000000001,0,834.569,845.383
Yield (t),2028,707.111,731.818,364.773,388.383,510.76200000000006,0,805.833,815.939
Yield (t),2029,690.275,713.554,362.048,385.05699999999996,503.566,0,782.241,791.6800000000001
Yield (t),2030,675.774,697.685,360.062,382.57099999999997,497.63,0,761.8439999999999,770.645
Yield (t),2031,662.4069999999999,682.9960000000001,358.269,380.3,492.151,0,743.165,751.3570000000001
Yield (t),2032,651.257,670.5719999999999,357.207,378.834,487.90099999999995,0,727.4580000000001,735.073
Yield (t),2033,642.156,660.251,356.828,378.132,484.792,0,714.477,721.548
Yield (t),2034,634.885,651.8190000000001,357.054,377.85999999999996,482.702,0,703.923,710.485
